cust,prod,day,month,year,state,quant,date
Claire,Fish,29,6,2019,CT,312,6/29/19
Claire,Grapes,26,10,2019,CT,721,10/26/19
Claire,Grapes,4,8,2020,NJ,766,8/4/20
Claire,Apple,14,8,2016,PA,974,8/14/16
Claire,Jellies,17,6,2016,PA,254,6/17/16
Claire,Ham,8,3,2019,NY,171,3/8/19
Claire,Ham,18,8,2017,PA,544,8/18/17
Claire,Cherry,4,6,2017,NJ,91,6/4/17
Claire,Butter,12,7,2020,NJ,996,7/12/20
Claire,Grapes,3,4,2019,CT,353,4/3/19
Claire,Butter,18,3,2019,NJ,380,3/18/19
Claire,Eggs,9,10,2020,NJ,286,10/9/20
Claire,Fish,16,3,2017,PA,991,3/16/17
Claire,Apple,28,6,2019,PA,728,6/28/19
Claire,Ham,9,5,2019,NY,951,5/9/19
Claire,Ham,10,10,2018,NY,674,10/10/18
Claire,Butter,10,3,2017,NJ,658,3/10/17
Claire,Butter,29,8,2017,PA,362,8/29/17
Claire,Eggs,4,11,2020,PA,711,11/4/20
Claire,Cherry,5,1,2019,PA,503,1/5/19
Claire,Grapes,22,7,2020,NY,325,7/22/20
Claire,Apple,6,8,2020,NJ,418,8/6/20
Claire,Apple,26,12,2019,CT,971,12/26/19
Claire,Dates,5,4,2020,PA,746,4/5/20
Claire,Dates,24,6,2019,NJ,575,6/24/19
Claire,Ice,3,6,2018,NY,94,6/3/18
Claire,Dates,30,4,2019,NY,849,4/30/19
Claire,Butter,24,11,2018,NY,157,11/24/18
Claire,Butter,6,11,2020,CT,882,11/6/20
Claire,Jellies,31,7,2016,NY,358,7/31/16
Claire,Fish,18,9,2016,PA,953,9/18/16
Claire,Dates,19,6,2018,NJ,30,6/19/18
Claire,Jellies,21,12,2018,CT,513,12/21/18
Claire,Dates,16,5,2017,CT,284,5/16/17
Claire,Grapes,18,11,2017,CT,965,11/18/17
Claire,Ice,24,12,2017,CT,488,12/24/17
Claire,Ice,6,4,2020,PA,801,4/6/20
Claire,Grapes,11,2,2016,NY,472,2/11/16
Claire,Cherry,16,11,2020,NY,723,11/16/20
Claire,Dates,27,10,2016,NJ,417,10/27/16
Claire,Eggs,14,2,2020,NY,445,2/14/20
Claire,Apple,8,9,2017,PA,208,9/8/17
Claire,Jellies,22,11,2019,CT,570,11/22/19
Claire,Butter,12,12,2017,PA,665,12/12/17
Claire,Dates,2,1,2018,CT,767,1/2/18
Claire,Dates,6,6,2016,NY,466,6/6/16
Claire,Ham,3,1,2019,CT,635,1/3/19
Claire,Fish,13,8,2019,NY,730,8/13/19
Claire,Grapes,4,5,2017,PA,206,5/4/17
Claire,Apple,9,8,2018,PA,414,8/9/18
Claire,Jellies,7,7,2019,NY,320,7/7/19
Claire,Jellies,19,3,2020,NJ,230,3/19/20
Claire,Jellies,9,11,2016,NJ,597,11/9/16
Claire,Eggs,25,9,2016,CT,454,9/25/16
Claire,Ham,16,4,2017,NY,169,4/16/17
Claire,Ice,19,5,2019,NY,622,5/19/19
Claire,Butter,15,1,2017,NJ,475,1/15/17
Claire,Ham,14,12,2019,CT,427,12/14/19
Claire,Butter,26,8,2019,PA,179,8/26/19
Claire,Ice,17,6,2019,CT,674,6/17/19
Claire,Apple,19,6,2019,PA,845,6/19/19
Claire,Eggs,8,1,2020,NY,595,1/8/20
Claire,Jellies,14,7,2016,PA,42,7/14/16
Claire,Eggs,14,9,2020,NY,17,9/14/20
Claire,Jellies,18,4,2016,NY,797,4/18/16
Claire,Cherry,3,5,2017,CT,407,5/3/17
Claire,Ham,6,9,2018,NJ,512,9/6/18
Claire,Ham,16,9,2016,PA,104,9/16/16
Claire,Cherry,16,9,2017,CT,574,9/16/17
Claire,Jellies,18,6,2016,PA,862,6/18/16
Claire,Grapes,10,6,2017,NY,44,6/10/17
Claire,Jellies,20,1,2019,NY,914,1/20/19
Claire,Grapes,8,2,2019,NJ,296,2/8/19
Claire,Jellies,30,5,2018,PA,409,5/30/18
Claire,Cherry,29,4,2016,NY,469,4/29/16
Claire,Cherry,21,11,2018,NY,520,11/21/18
Claire,Jellies,5,2,2016,NY,151,2/5/16
Claire,Fish,10,3,2018,CT,160,3/10/18
Claire,Grapes,20,4,2020,NJ,976,4/20/20
Claire,Eggs,22,2,2020,CT,593,2/22/20
Claire,Dates,5,9,2020,PA,940,9/5/20
Claire,Dates,10,8,2016,PA,244,8/10/16
Claire,Ice,29,1,2020,CT,224,1/29/20
Claire,Grapes,3,1,2020,PA,996,1/3/20
Claire,Ice,21,8,2017,NJ,978,8/21/17
Claire,Butter,10,10,2020,NY,332,10/10/20
Claire,Butter,19,1,2018,NY,190,1/19/18
Claire,Eggs,19,1,2020,CT,995,1/19/20
Claire,Ham,25,5,2018,PA,42,5/25/18
Claire,Grapes,20,10,2017,NY,348,10/20/17
Claire,Eggs,7,11,2016,CT,592,11/7/16
Claire,Jellies,14,10,2020,PA,633,10/14/20
Claire,Grapes,28,8,2018,PA,804,8/28/18
Claire,Fish,21,9,2020,NJ,810,9/21/20
Claire,Ham,2,1,2017,CT,978,1/2/17
Claire,Butter,6,12,2017,NJ,363,12/6/17
Claire,Grapes,7,11,2017,PA,413,11/7/17
Claire,Eggs,9,6,2017,PA,980,6/9/17
Claire,Cherry,24,1,2019,CT,877,1/24/19
Claire,Butter,26,5,2020,PA,116,5/26/20
Claire,Butter,22,8,2020,NJ,696,8/22/20
Claire,Jellies,18,7,2018,PA,638,7/18/18
Claire,Butter,1,3,2018,CT,519,3/1/18
Claire,Dates,15,4,2016,NJ,681,4/15/16
Claire,Grapes,15,9,2016,NJ,525,9/15/16
Claire,Cherry,30,3,2019,CT,392,3/30/19
Claire,Grapes,17,3,2018,NY,180,3/17/18
Claire,Dates,11,1,2017,NJ,212,1/11/17
Claire,Dates,14,3,2020,NY,158,3/14/20
Claire,Ham,25,11,2019,NY,37,11/25/19
Claire,Fish,13,10,2019,NY,478,10/13/19
Claire,Butter,12,10,2016,PA,858,10/12/16
Claire,Fish,22,4,2018,CT,404,4/22/18
Claire,Dates,21,1,2017,PA,753,1/21/17
Claire,Apple,11,2,2017,NY,560,2/11/17
Claire,Cherry,14,5,2019,NJ,245,5/14/19
Claire,Fish,1,9,2017,NJ,670,9/1/17
Claire,Ham,21,2,2019,CT,84,2/21/19
Claire,Cherry,6,3,2016,CT,663,3/6/16
Claire,Grapes,28,4,2020,CT,996,4/28/20
Claire,Eggs,5,5,2017,NJ,58,5/5/17
Claire,Dates,2,12,2019,NJ,541,12/2/19
Claire,Ham,6,1,2019,NY,212,1/6/19
Claire,Ice,24,3,2019,NY,29,3/24/19
Claire,Eggs,19,4,2017,PA,18,4/19/17
Claire,Butter,4,10,2016,NJ,820,10/4/16
Claire,Eggs,15,10,2017,CT,62,10/15/17
Claire,Ham,26,9,2017,NJ,687,9/26/17
Claire,Ice,26,7,2020,NJ,36,7/26/20
Claire,Grapes,10,12,2018,NY,992,12/10/18
Claire,Ham,7,12,2019,CT,857,12/7/19
Claire,Apple,27,8,2019,CT,504,8/27/19
Claire,Jellies,31,8,2017,NY,695,8/31/17
Claire,Dates,1,7,2019,PA,949,7/1/19
Claire,Ham,3,4,2016,CT,403,4/3/16
Claire,Cherry,28,8,2017,PA,499,8/28/17
Claire,Jellies,23,12,2017,PA,323,12/23/17
Claire,Apple,16,7,2020,CT,561,7/16/20
Claire,Ham,16,11,2017,CT,150,11/16/17
Claire,Ice,28,10,2020,NJ,746,10/28/20
Claire,Butter,9,2,2018,PA,175,2/9/18
Claire,Dates,14,7,2018,NJ,191,7/14/18
Claire,Eggs,18,4,2016,PA,572,4/18/16
Claire,Dates,17,7,2019,CT,350,7/17/19
Claire,Eggs,19,3,2019,NY,709,3/19/19
Claire,Eggs,15,9,2018,NJ,415,9/15/18
Claire,Ham,4,7,2019,CT,271,7/4/19
Claire,Ham,21,11,2019,CT,569,11/21/19
Claire,Butter,12,7,2019,CT,188,7/12/19
Claire,Apple,28,5,2016,NY,455,5/28/16
Claire,Butter,16,3,2016,NY,785,3/16/16
Claire,Butter,16,2,2019,NY,936,2/16/19
Claire,Jellies,9,10,2020,CT,938,10/9/20
Claire,Apple,22,3,2020,NJ,584,3/22/20
Claire,Ham,23,11,2019,NJ,466,11/23/19
Claire,Dates,20,3,2016,NJ,281,3/20/16
Claire,Ice,2,7,2018,NY,230,7/2/18
Claire,Dates,22,7,2016,CT,928,7/22/16
Claire,Dates,30,3,2016,NY,247,3/30/16
Claire,Jellies,1,5,2019,PA,687,5/1/19
Claire,Fish,30,3,2019,PA,249,3/30/19
Claire,Cherry,19,5,2019,NJ,73,5/19/19
Claire,Apple,14,9,2016,PA,869,9/14/16
Claire,Butter,17,11,2020,NY,558,11/17/20
Claire,Eggs,27,9,2017,CT,522,9/27/17
Claire,Fish,27,10,2020,PA,710,10/27/20
Claire,Apple,21,3,2017,NY,131,3/21/17
Claire,Ham,18,12,2017,NY,733,12/18/17
Claire,Cherry,26,6,2020,CT,776,6/26/20
Claire,Fish,1,7,2017,PA,122,7/1/17
Claire,Dates,1,8,2020,PA,133,8/1/20
Claire,Butter,15,4,2018,NY,750,4/15/18
Claire,Ice,20,11,2016,NJ,19,11/20/16
Claire,Grapes,27,9,2019,NY,819,9/27/19
Claire,Dates,15,3,2020,PA,875,3/15/20
Claire,Grapes,27,3,2016,PA,419,3/27/16
Claire,Grapes,7,9,2017,PA,764,9/7/17
Claire,Ham,3,3,2018,NJ,725,3/3/18
Claire,Cherry,5,5,2019,CT,49,5/5/19
Claire,Dates,10,4,2016,PA,427,4/10/16
Claire,Apple,20,1,2019,PA,261,1/20/19
Claire,Butter,3,2,2020,NJ,746,2/3/20
Claire,Eggs,29,8,2016,CT,882,8/29/16
Claire,Fish,11,8,2018,CT,250,8/11/18
Claire,Jellies,28,11,2020,CT,77,11/28/20
Claire,Ham,29,11,2020,NY,669,11/29/20
Claire,Ice,5,12,2018,CT,553,12/5/18
Claire,Fish,16,6,2017,CT,698,6/16/17
Claire,Eggs,11,2,2016,CT,120,2/11/16
Claire,Butter,27,5,2016,NJ,783,5/27/16
Claire,Ham,15,12,2020,CT,709,12/15/20
Claire,Ham,26,7,2019,CT,811,7/26/19
Claire,Fish,6,4,2018,NJ,59,4/6/18
Claire,Dates,14,6,2020,NY,289,6/14/20
Claire,Cherry,7,6,2019,NY,656,6/7/19
Claire,Jellies,24,6,2016,NJ,591,6/24/16
Claire,Dates,3,9,2020,CT,642,9/3/20
Claire,Fish,7,1,2018,NY,857,1/7/18
Claire,Cherry,10,7,2019,NJ,38,7/10/19
Claire,Grapes,27,3,2019,NY,45,3/27/19
Claire,Dates,1,12,2020,PA,901,12/1/20
Claire,Grapes,27,4,2016,NY,245,4/27/16
Claire,Ice,8,1,2020,NJ,742,1/8/20
Claire,Eggs,5,1,2016,PA,416,1/5/16
Claire,Cherry,20,7,2018,CT,5,7/20/18
Claire,Grapes,1,10,2020,NJ,694,10/1/20
Claire,Dates,5,4,2018,CT,288,4/5/18
Claire,Grapes,18,10,2017,PA,904,10/18/17
Claire,Fish,2,2,2016,NY,338,2/2/16
Claire,Jellies,22,10,2016,PA,929,10/22/16
Claire,Eggs,24,1,2019,PA,939,1/24/19
Claire,Ham,18,10,2017,NY,213,10/18/17
Claire,Butter,19,7,2016,PA,665,7/19/16
Claire,Apple,11,11,2017,NJ,389,11/11/17
Claire,Butter,22,9,2018,NY,905,9/22/18
Claire,Butter,23,12,2020,PA,821,12/23/20
Claire,Fish,22,2,2019,NY,62,2/22/19
Claire,Jellies,30,7,2020,NJ,665,7/30/20
Claire,Butter,21,4,2019,CT,115,4/21/19
Claire,Ham,12,12,2018,NJ,386,12/12/18
Claire,Eggs,15,7,2019,PA,23,7/15/19
Claire,Fish,26,11,2019,CT,646,11/26/19
Claire,Butter,16,10,2017,NY,609,10/16/17
Claire,Apple,11,6,2017,PA,50,6/11/17
Claire,Ham,16,7,2020,NY,187,7/16/20
Claire,Eggs,29,7,2017,NJ,658,7/29/17
Claire,Cherry,24,10,2018,PA,755,10/24/18
Claire,Grapes,26,9,2018,NJ,555,9/26/18
Claire,Ice,1,12,2016,PA,457,12/1/16
Claire,Jellies,10,12,2019,NY,878,12/10/19
Claire,Eggs,10,12,2020,PA,462,12/10/20
Claire,Ice,11,12,2018,PA,767,12/11/18
Claire,Cherry,16,8,2020,NJ,677,8/16/20
Claire,Ham,11,8,2019,NY,705,8/11/19
Claire,Ham,21,3,2018,CT,721,3/21/18
Claire,Dates,14,1,2016,NJ,704,1/14/16
Claire,Apple,20,6,2016,CT,727,6/20/16
Claire,Jellies,10,10,2020,NJ,516,10/10/20
Claire,Dates,2,2,2019,NJ,323,2/2/19
Claire,Jellies,18,3,2016,NY,15,3/18/16
Claire,Grapes,5,4,2020,CT,343,4/5/20
Claire,Grapes,10,3,2018,CT,899,3/10/18
Claire,Cherry,10,7,2016,CT,395,7/10/16
Claire,Ice,8,10,2016,NJ,869,10/8/16
Claire,Fish,11,9,2020,NY,186,9/11/20
Claire,Butter,30,11,2019,NJ,881,11/30/19
Claire,Eggs,27,11,2020,NJ,249,11/27/20
Claire,Ice,12,8,2019,CT,565,8/12/19
Claire,Fish,16,8,2016,CT,865,8/16/16
Claire,Eggs,5,5,2020,NJ,87,5/5/20
Claire,Eggs,18,3,2018,CT,720,3/18/18
Claire,Ham,15,10,2017,NY,152,10/15/17
Claire,Eggs,30,7,2019,PA,627,7/30/19
Claire,Jellies,3,2,2017,PA,693,2/3/17
Claire,Apple,12,8,2020,NY,925,8/12/20
Claire,Dates,29,5,2017,PA,814,5/29/17
Claire,Ice,2,2,2017,NJ,818,2/2/17
Claire,Ham,2,8,2018,NY,329,8/2/18
Claire,Dates,13,7,2019,NY,146,7/13/19
Claire,Dates,1,2,2018,NY,702,2/1/18
Claire,Jellies,18,12,2020,CT,654,12/18/20
Claire,Ice,30,8,2017,PA,954,8/30/17
Claire,Butter,6,11,2020,CT,938,11/6/20
Claire,Butter,28,1,2020,NJ,386,1/28/20
Claire,Butter,22,3,2019,NJ,531,3/22/19
Claire,Ham,19,8,2018,PA,302,8/19/18
Claire,Eggs,15,9,2020,NJ,643,9/15/20
Claire,Apple,13,11,2018,PA,78,11/13/18
Claire,Dates,15,11,2016,NY,309,11/15/16
Claire,Dates,31,1,2018,CT,963,1/31/18
Claire,Grapes,23,12,2018,NJ,471,12/23/18
Claire,Ice,1,1,2018,CT,604,1/1/18
Claire,Grapes,18,8,2018,CT,137,8/18/18
Claire,Cherry,13,8,2016,CT,404,8/13/16
Claire,Butter,3,12,2019,PA,955,12/3/19
Claire,Fish,17,1,2018,NY,925,1/17/18
Claire,Butter,2,2,2017,NJ,483,2/2/17
Claire,Ice,1,8,2018,NY,372,8/1/18
Claire,Cherry,22,5,2018,PA,975,5/22/18
Claire,Fish,20,3,2020,NY,123,3/20/20
Claire,Butter,14,4,2020,NY,152,4/14/20
Claire,Ham,29,10,2019,PA,651,10/29/19
Claire,Fish,18,1,2016,NJ,639,1/18/16
Claire,Jellies,25,1,2020,PA,184,1/25/20
Claire,Butter,21,4,2016,PA,413,4/21/16
Claire,Ice,20,8,2017,NJ,298,8/20/17
Claire,Butter,9,2,2019,CT,413,2/9/19
Claire,Dates,16,10,2017,NJ,846,10/16/17
Claire,Jellies,29,11,2016,NJ,750,11/29/16
Claire,Eggs,21,3,2016,CT,257,3/21/16
Claire,Ham,9,9,2016,NY,265,9/9/16
Claire,Butter,29,5,2018,CT,72,5/29/18
Claire,Ham,13,2,2018,NY,337,2/13/18
Claire,Ham,15,8,2017,NJ,619,8/15/17
Claire,Ice,29,7,2019,NJ,997,7/29/19
Claire,Apple,14,10,2020,NJ,969,10/14/20
Claire,Butter,4,4,2016,NJ,364,4/4/16
Claire,Jellies,25,11,2018,NY,659,11/25/18
Claire,Butter,6,8,2017,NJ,574,8/6/17
Claire,Apple,18,11,2019,PA,722,11/18/19
Claire,Fish,5,9,2020,PA,541,9/5/20
Claire,Ice,18,1,2017,NJ,973,1/18/17
Claire,Apple,27,6,2017,NJ,17,6/27/17
Claire,Butter,14,12,2020,NY,387,12/14/20
Claire,Cherry,2,9,2017,NY,919,9/2/17
Claire,Eggs,1,3,2017,CT,827,3/1/17
Claire,Fish,20,8,2017,NY,155,8/20/17
Claire,Ice,16,7,2019,PA,436,7/16/19
Claire,Grapes,1,8,2018,NJ,705,8/1/18
Claire,Ham,10,11,2018,CT,328,11/10/18
Claire,Jellies,5,7,2019,NJ,15,7/5/19
Claire,Apple,10,10,2020,NY,880,10/10/20
Claire,Apple,27,3,2019,CT,460,3/27/19
Claire,Ham,4,9,2020,NJ,298,9/4/20
Claire,Fish,30,10,2018,PA,24,10/30/18
Claire,Butter,23,5,2019,NY,545,5/23/19
Claire,Butter,11,1,2016,CT,459,1/11/16
Claire,Dates,19,12,2020,NY,723,12/19/20
Claire,Cherry,24,5,2016,NY,569,5/24/16
Claire,Eggs,28,6,2019,CT,682,6/28/19
Claire,Jellies,8,12,2017,CT,398,12/8/17
Claire,Apple,4,12,2020,PA,92,12/4/20
Claire,Ice,28,3,2016,NY,714,3/28/16
Claire,Butter,1,1,2017,PA,526,1/1/17
Claire,Ice,29,12,2017,PA,617,12/29/17
Claire,Grapes,3,6,2018,NJ,130,6/3/18
Claire,Apple,14,6,2017,NY,107,6/14/17
Claire,Fish,6,1,2016,CT,1000,1/6/16
Claire,Eggs,25,3,2019,PA,346,3/25/19
Claire,Jellies,23,7,2019,NY,859,7/23/19
Claire,Butter,15,9,2019,NJ,109,9/15/19
Claire,Grapes,9,6,2017,CT,328,6/9/17
Claire,Cherry,16,4,2017,PA,327,4/16/17
Claire,Eggs,25,7,2020,NJ,714,7/25/20
Claire,Ice,9,10,2016,CT,657,10/9/16
Claire,Butter,15,1,2016,PA,229,1/15/16
Claire,Jellies,9,10,2020,NJ,930,10/9/20
Claire,Dates,6,10,2016,NY,287,10/6/16
Claire,Ice,30,9,2019,PA,866,9/30/19
Claire,Eggs,16,8,2019,CT,151,8/16/19
Claire,Fish,14,11,2016,NY,31,11/14/16
Claire,Cherry,13,4,2019,CT,954,4/13/19
Claire,Dates,26,6,2020,CT,88,6/26/20
Claire,Ham,20,5,2018,CT,4,5/20/18
Claire,Jellies,28,6,2019,NY,800,6/28/19
Claire,Ham,1,5,2018,NY,564,5/1/18
Claire,Jellies,5,1,2016,NJ,221,1/5/16
Claire,Butter,19,3,2019,CT,114,3/19/19
Claire,Ham,20,9,2018,CT,459,9/20/18
Claire,Butter,5,9,2020,NY,453,9/5/20
Claire,Grapes,5,12,2017,CT,323,12/5/17
Claire,Dates,13,10,2019,NJ,219,10/13/19
Claire,Dates,12,8,2019,PA,976,8/12/19
Claire,Fish,3,5,2016,NY,712,5/3/16
Claire,Jellies,10,3,2020,NY,808,3/10/20
Claire,Butter,22,4,2020,NJ,633,4/22/20
Claire,Fish,5,10,2019,CT,152,10/5/19
Claire,Cherry,15,10,2016,PA,409,10/15/16
Claire,Cherry,9,12,2018,CT,544,12/9/18
Claire,Eggs,25,12,2019,NY,197,12/25/19
Claire,Butter,27,10,2020,NJ,151,10/27/20
Claire,Ham,24,8,2019,NJ,375,8/24/19
Claire,Eggs,8,8,2019,NJ,554,8/8/19
Claire,Butter,19,1,2019,NJ,546,1/19/19
Claire,Cherry,29,1,2019,CT,394,1/29/19
Claire,Dates,1,1,2016,PA,35,1/1/16
Claire,Ice,9,7,2017,CT,616,7/9/17
Claire,Jellies,28,7,2020,NY,97,7/28/20
Claire,Dates,1,4,2018,PA,465,4/1/18
Claire,Butter,6,4,2018,NY,818,4/6/18
Claire,Jellies,14,10,2020,CT,487,10/14/20
Claire,Dates,21,5,2016,CT,369,5/21/16
Claire,Jellies,5,5,2020,PA,329,5/5/20
Claire,Jellies,2,8,2016,CT,343,8/2/16
Claire,Apple,4,11,2016,NY,190,11/4/16
Claire,Apple,30,9,2018,NJ,839,9/30/18
Claire,Eggs,11,2,2020,PA,71,2/11/20
Claire,Ham,10,6,2018,CT,548,6/10/18
Claire,Ham,16,11,2019,NJ,472,11/16/19
Claire,Ice,26,12,2020,NY,437,12/26/20
Claire,Ham,7,9,2020,NJ,249,9/7/20
Claire,Ice,26,2,2017,PA,860,2/26/17
Claire,Dates,10,6,2020,PA,249,6/10/20
Claire,Ham,25,9,2016,NY,982,9/25/16
Claire,Ice,30,10,2018,NJ,688,10/30/18
Claire,Eggs,5,12,2019,PA,578,12/5/19
Claire,Dates,13,4,2016,CT,275,4/13/16
Claire,Jellies,18,8,2020,NJ,198,8/18/20
Claire,Butter,8,9,2020,PA,980,9/8/20
Claire,Fish,24,2,2018,PA,415,2/24/18
Claire,Ham,15,8,2017,PA,846,8/15/17
Claire,Grapes,20,10,2017,CT,544,10/20/17
Claire,Jellies,18,3,2019,NJ,580,3/18/19
Claire,Jellies,31,12,2019,NJ,22,12/31/19
Claire,Cherry,29,11,2019,NJ,591,11/29/19
Claire,Fish,1,10,2020,CT,893,10/1/20
Claire,Jellies,4,12,2019,NY,488,12/4/19
Claire,Eggs,18,4,2019,CT,195,4/18/19
Claire,Butter,22,6,2017,PA,239,6/22/17
Claire,Apple,19,7,2019,NJ,435,7/19/19
Claire,Dates,25,8,2019,CT,159,8/25/19
Claire,Butter,19,12,2020,CT,96,12/19/20
Claire,Dates,19,6,2020,NJ,577,6/19/20
Claire,Ice,17,7,2019,CT,33,7/17/19
Claire,Jellies,31,1,2018,PA,233,1/31/18
Claire,Grapes,11,4,2016,PA,956,4/11/16
Claire,Grapes,11,10,2019,PA,397,10/11/19
Claire,Eggs,22,6,2020,NJ,573,6/22/20
Claire,Fish,17,4,2018,PA,584,4/17/18
Claire,Ice,19,3,2016,NY,786,3/19/16
Claire,Jellies,3,9,2017,NY,775,9/3/17
Claire,Eggs,6,2,2018,PA,885,2/6/18
Claire,Fish,6,9,2019,NY,990,9/6/19
Claire,Grapes,29,9,2019,NJ,380,9/29/19
Claire,Eggs,17,2,2019,NY,86,2/17/19
Claire,Jellies,17,8,2020,CT,339,8/17/20
Claire,Ham,18,8,2020,NJ,611,8/18/20
Claire,Ice,25,10,2016,NY,321,10/25/16
Claire,Cherry,29,6,2018,NJ,524,6/29/18
Claire,Dates,14,2,2020,CT,643,2/14/20
Claire,Dates,19,9,2019,PA,350,9/19/19
Claire,Eggs,1,4,2016,NY,600,4/1/16
Claire,Dates,26,12,2020,NY,567,12/26/20
Claire,Ham,20,2,2018,NY,89,2/20/18
Claire,Eggs,4,6,2019,NJ,597,6/4/19
Claire,Grapes,16,1,2019,CT,614,1/16/19
Claire,Eggs,31,10,2017,CT,419,10/31/17
Claire,Eggs,12,3,2018,PA,599,3/12/18
Claire,Ice,12,11,2017,CT,396,11/12/17
Claire,Apple,12,7,2016,CT,355,7/12/16
Claire,Fish,31,8,2016,PA,86,8/31/16
Claire,Apple,18,11,2018,CT,989,11/18/18
Claire,Butter,25,9,2018,CT,946,9/25/18
Claire,Cherry,6,6,2016,NY,843,6/6/16
Claire,Apple,10,6,2019,NY,266,6/10/19
Claire,Fish,12,2,2016,CT,950,2/12/16
Claire,Jellies,9,1,2017,NY,865,1/9/17
Claire,Dates,12,5,2020,NY,153,5/12/20
Claire,Ice,10,6,2016,CT,388,6/10/16
Claire,Butter,9,8,2016,NY,138,8/9/16
Claire,Butter,5,10,2020,CT,294,10/5/20
Claire,Butter,4,12,2018,CT,546,12/4/18
Claire,Grapes,16,3,2020,NY,960,3/16/20
Claire,Jellies,16,8,2020,NJ,631,8/16/20
Claire,Butter,14,1,2018,NY,655,1/14/18
Claire,Fish,20,2,2016,NY,751,2/20/16
Claire,Cherry,15,9,2019,NY,418,9/15/19
Claire,Butter,21,6,2020,PA,343,6/21/20
Claire,Grapes,2,4,2016,NJ,569,4/2/16
Claire,Grapes,4,10,2019,CT,231,10/4/19
Claire,Apple,30,5,2017,CT,38,5/30/17
Claire,Dates,15,5,2020,CT,619,5/15/20
Claire,Cherry,25,7,2017,NY,519,7/25/17
Claire,Apple,2,9,2018,NY,337,9/2/18
Claire,Ice,27,11,2018,CT,488,11/27/18
Claire,Cherry,28,9,2019,NJ,665,9/28/19
Claire,Apple,17,2,2016,CT,885,2/17/16
Claire,Cherry,26,5,2019,NY,284,5/26/19
Claire,Cherry,26,8,2018,NY,548,8/26/18
Claire,Butter,5,8,2020,NY,811,8/5/20
Claire,Eggs,23,4,2016,NJ,338,4/23/16
Claire,Grapes,16,12,2018,NY,703,12/16/18
Claire,Dates,11,5,2017,NJ,853,5/11/17
Claire,Apple,2,7,2018,NJ,648,7/2/18
Claire,Grapes,21,8,2019,CT,860,8/21/19
Claire,Cherry,3,6,2018,PA,335,6/3/18
Claire,Grapes,1,2,2018,CT,731,2/1/18
Claire,Ham,28,2,2017,PA,424,2/28/17
Claire,Eggs,1,9,2019,CT,537,9/1/19
Claire,Fish,11,3,2020,NY,544,3/11/20
Claire,Apple,12,3,2019,NJ,829,3/12/19
Claire,Butter,26,12,2018,PA,916,12/26/18
Claire,Ham,23,9,2020,NJ,530,9/23/20
Claire,Butter,9,9,2020,NY,381,9/9/20
Claire,Dates,11,12,2020,PA,68,12/11/20
Claire,Apple,13,3,2019,NY,208,3/13/19
Claire,Ice,26,12,2018,NJ,482,12/26/18
Claire,Butter,17,12,2018,NY,843,12/17/18
Claire,Ham,2,1,2018,NY,456,1/2/18
Claire,Ice,14,4,2019,PA,452,4/14/19
Claire,Grapes,17,4,2019,NY,622,4/17/19
Claire,Eggs,2,11,2019,NJ,399,11/2/19
Claire,Fish,13,1,2019,NY,675,1/13/19
Claire,Grapes,9,3,2016,NY,487,3/9/16
Claire,Ice,28,9,2017,NY,352,9/28/17
Claire,Ice,26,5,2016,NJ,413,5/26/16
Claire,Fish,27,3,2017,NJ,801,3/27/17
Claire,Apple,18,8,2018,NJ,359,8/18/18
Claire,Eggs,1,5,2017,NJ,13,5/1/17
Claire,Dates,13,6,2019,NY,863,6/13/19
Claire,Cherry,19,8,2016,CT,400,8/19/16
Claire,Eggs,1,11,2016,NY,102,11/1/16
Claire,Cherry,11,5,2017,NJ,101,5/11/17
Claire,Ice,23,6,2017,PA,789,6/23/17
Claire,Jellies,13,4,2018,CT,878,4/13/18
Claire,Ice,1,10,2018,NJ,319,10/1/18
Claire,Cherry,6,9,2017,PA,847,9/6/17
Claire,Ham,20,10,2020,NJ,856,10/20/20
Claire,Jellies,4,6,2018,PA,581,6/4/18
Claire,Dates,5,11,2018,PA,351,11/5/18
Claire,Dates,19,3,2017,NJ,102,3/19/17
Claire,Grapes,6,4,2020,CT,317,4/6/20
Claire,Ice,25,4,2016,CT,913,4/25/16
Claire,Cherry,14,1,2017,PA,291,1/14/17
Claire,Eggs,14,7,2017,PA,246,7/14/17
Claire,Apple,31,3,2017,PA,770,3/31/17
Claire,Dates,15,12,2017,PA,626,12/15/17
Claire,Jellies,18,4,2019,NY,170,4/18/19
Claire,Grapes,5,9,2017,CT,485,9/5/17
Claire,Fish,15,12,2018,NY,433,12/15/18
Claire,Apple,27,5,2017,CT,818,5/27/17
Claire,Butter,16,3,2016,PA,154,3/16/16
Claire,Ice,24,1,2017,NJ,42,1/24/17
Claire,Jellies,7,5,2018,PA,779,5/7/18
Claire,Apple,30,3,2016,NJ,305,3/30/16
Claire,Fish,22,3,2016,PA,711,3/22/16
Claire,Cherry,29,6,2016,NY,713,6/29/16
Claire,Jellies,3,11,2019,NJ,314,11/3/19
Claire,Grapes,16,11,2020,NY,621,11/16/20
Claire,Eggs,28,5,2018,CT,67,5/28/18
Claire,Ice,27,5,2018,NY,629,5/27/18
Claire,Eggs,11,5,2017,CT,879,5/11/17
Claire,Ham,2,11,2017,CT,244,11/2/17
Claire,Ice,16,4,2016,NJ,257,4/16/16
